timestamps,TP9,AF7,AF8,TP10,Right AUX
1681293172.783,-134.766,-973.633,-110.840,-31.250,0.000
1681293172.787,-104.980,-670.410,-115.234,2.930,0.000
1681293172.791,-93.262,-358.398,-124.512,-16.113,0.000
1681293172.795,-110.352,-541.016,-123.047,-42.480,0.000
1681293172.799,-104.980,-657.715,-125.000,-35.156,0.000
1681293172.803,-118.652,-334.961,-135.742,-30.762,0.000
1681293172.807,-131.836,-284.668,-144.531,-34.668,0.000
1681293172.811,-110.352,-717.773,-149.902,-19.043,0.000
1681293172.815,-89.355,-754.395,-151.367,-18.555,0.000
1681293172.818,-93.262,-340.820,-153.320,-25.391,0.000
1681293172.822,-107.910,-318.359,-158.691,-19.043,0.000
1681293172.826,-87.891,-704.590,-162.109,-15.137,0.000
1681293172.830,-87.402,-931.152,-159.180,-6.348,0.000
1681293172.834,-76.172,-634.766,-151.367,-9.766,0.000
1681293172.838,-76.172,-387.695,-155.273,-7.324,0.000
1681293172.842,-93.750,-701.172,-156.738,4.395,0.000
1681293172.846,-84.473,-684.082,-151.855,4.395,0.000
1681293172.850,-88.379,-267.578,-159.180,9.766,0.000
1681293172.854,-47.852,-393.066,-156.738,24.414,0.000
1681293172.858,-46.387,-673.340,-153.320,17.090,0.000
1681293172.861,-93.262,-604.980,-160.645,-1.953,0.000
1681293172.865,-85.449,-490.723,-161.133,4.883,0.000
1681293172.869,-74.707,-592.285,-161.133,16.602,0.000
1681293172.873,-81.055,-960.449,-161.133,-5.859,0.000
1681293172.877,-86.426,-926.758,-158.203,-31.250,0.000
1681293172.881,-68.359,-669.922,-159.668,-41.016,0.000
1681293172.885,-62.988,-831.055,-163.574,-20.020,0.000
1681293172.889,-76.660,-966.309,-156.250,-22.949,0.000
1681293172.893,-77.148,-760.742,-154.785,-44.434,0.000
1681293172.897,-79.102,-678.711,-162.598,-36.621,0.000
1681293172.900,-71.777,-851.074,-165.527,-46.875,0.000
1681293172.904,-76.660,-1000.000,-157.715,-47.363,0.000
1681293172.908,-82.031,-921.875,-157.715,-40.039,0.000
1681293172.912,-61.523,-772.949,-165.039,-51.270,0.000
1681293172.916,-79.590,-918.945,-157.715,-46.387,0.000
1681293172.920,-85.449,-1000.000,-152.344,-21.484,0.000
1681293172.924,-74.219,-985.840,-153.809,-36.133,0.000
1681293172.928,-92.285,-976.074,-160.156,-42.480,0.000
1681293172.932,-88.867,-1000.000,-152.344,-10.742,0.000
1681293172.936,-79.102,-883.301,-139.648,-19.043,0.000
1681293172.940,-80.566,-809.082,-145.508,-50.293,0.000
1681293172.943,-52.246,-965.820,-145.996,-53.223,0.000
1681293172.947,-46.875,-1000.000,-148.926,-43.945,0.000
1681293172.951,-55.176,-763.672,-147.461,-34.668,0.000
1681293172.955,-44.922,-600.586,-144.531,-22.461,0.000
1681293172.959,-35.156,-838.867,-145.996,-21.973,0.000
1681293172.963,-25.391,-953.125,-144.531,-22.949,0.000
1681293172.967,-28.809,-955.078,-142.578,-11.719,0.000
1681293172.971,-21.973,-983.887,-136.719,-25.391,0.000
1681293172.975,-14.648,-958.496,-135.254,-36.133,0.000
1681293172.979,-31.250,-995.117,-143.066,-18.555,0.000
1681293172.982,-49.805,-879.883,-144.531,-4.883,0.000
1681293172.986,-53.223,-702.637,-144.531,-41.504,0.000
1681293172.990,-54.199,-838.379,-146.484,-70.801,0.000
1681293172.994,-50.293,-895.020,-145.508,-53.711,0.000
1681293172.998,-80.078,-833.008,-143.555,-52.734,0.000
1681293173.002,-89.355,-1000.000,-141.602,-55.176,0.000
1681293173.006,-64.941,-958.984,-141.602,-30.762,0.000
1681293173.010,-77.148,-866.211,-143.555,-19.531,0.000
1681293173.014,-91.797,-977.539,-142.578,-29.785,0.000
1681293173.018,-100.098,-1000.000,-131.836,-36.133,0.000
1681293173.022,-105.957,-999.023,-123.535,-31.250,0.000
1681293173.025,-112.305,-981.445,-115.234,-21.484,0.000
1681293173.029,-121.094,-938.477,-97.656,-38.086,0.000
1681293173.033,-111.816,-971.680,-92.773,-58.594,0.000
1681293173.037,-89.844,-1000.000,-96.191,-57.617,0.000
1681293173.041,-64.941,-991.211,-100.098,-52.734,0.000
1681293173.045,-77.148,-985.840,-104.492,-43.945,0.000
1681293173.049,-98.633,-992.676,-103.027,-35.156,0.000
1681293173.053,-81.055,-1000.000,-106.934,-39.062,0.000
1681293173.057,-73.730,-1000.000,-101.562,-39.062,0.000
1681293173.061,-89.355,-1000.000,-89.844,-31.738,0.000
1681293173.065,-88.867,-1000.000,-89.355,-28.320,0.000
1681293173.068,-61.035,-1000.000,-82.520,-6.348,0.000
1681293173.072,-55.664,-999.512,-82.031,11.719,0.000
1681293173.076,-85.449,-1000.000,-81.543,0.977,0.000
1681293173.080,-70.312,-1000.000,-76.660,-41.016,0.000
1681293173.084,-66.895,-1000.000,-77.148,-52.246,0.000
1681293173.088,-82.520,-1000.000,-71.777,-53.711,0.000
1681293173.092,-78.125,-1000.000,-71.777,-76.172,0.000
1681293173.096,-77.637,-1000.000,-69.824,-72.266,0.000
1681293173.100,-78.613,-1000.000,-62.988,-61.523,0.000
1681293173.104,-77.637,-1000.000,-68.359,-52.246,0.000
1681293173.107,-78.125,-1000.000,-71.777,-43.945,0.000
1681293173.111,-94.238,-1000.000,-72.266,-35.156,0.000
1681293173.115,-92.285,-1000.000,-76.660,-35.156,0.000
1681293173.119,-58.594,-1000.000,-70.801,-7.812,0.000
1681293173.123,-67.871,-1000.000,-70.801,-7.812,0.000
1681293173.127,-96.191,-999.023,-64.941,-23.438,0.000
1681293173.131,-121.582,-996.094,-52.734,-13.184,0.000
1681293173.135,-120.605,-999.023,-60.547,-34.180,0.000
1681293173.139,-97.656,-1000.000,-67.871,-21.973,0.000
1681293173.143,-85.938,-1000.000,-61.035,-7.812,0.000
1681293173.147,-69.336,-1000.000,-62.012,-20.020,0.000
1681293173.150,-83.984,-1000.000,-58.594,-10.254,0.000
1681293173.154,-83.496,-1000.000,-53.223,-6.348,0.000
1681293173.158,-44.922,-1000.000,-54.688,-20.996,0.000
1681293173.162,-38.574,-1000.000,-48.340,-25.879,0.000
1681293173.166,-46.875,-1000.000,-41.016,-11.230,0.000
1681293173.170,-65.430,-1000.000,-42.969,-13.672,0.000
1681293173.174,-64.453,-1000.000,-46.875,-11.719,0.000
1681293173.178,-45.410,-1000.000,-39.062,0.488,0.000
1681293173.182,-37.598,-1000.000,-31.250,-7.324,0.000
1681293173.186,-18.066,-1000.000,-28.809,-13.184,0.000
1681293173.190,-33.691,-999.023,-32.715,-20.020,0.000
1681293173.193,-29.297,-995.117,-33.203,-19.043,0.000
1681293173.197,1.465,-999.512,-34.180,-17.578,0.000
1681293173.201,-19.531,-1000.000,-36.133,-23.926,0.000
1681293173.205,-67.871,-1000.000,-44.434,-25.879,0.000
1681293173.209,-79.102,-999.512,-44.922,-20.020,0.000
1681293173.213,-62.500,-995.117,-41.992,-20.020,0.000
1681293173.217,-63.965,-997.070,-52.246,-26.855,0.000
1681293173.221,-43.945,-1000.000,-48.828,-33.203,0.000
1681293173.225,-43.945,-983.398,-43.457,-38.086,0.000
1681293173.229,-71.289,-970.703,-44.434,-29.297,0.000
1681293173.233,-90.820,-998.535,-44.434,-32.227,0.000
1681293173.236,-83.008,-1000.000,-47.363,-39.062,0.000
1681293173.240,-62.500,-992.188,-60.547,-37.109,0.000
1681293173.244,-82.031,-993.652,-73.242,-44.922,0.000
1681293173.248,-89.844,-1000.000,-69.336,-57.129,0.000
1681293173.252,-90.820,-1000.000,-62.988,-62.988,0.000
1681293173.256,-100.586,-993.164,-62.012,-57.617,0.000
1681293173.260,-79.590,-990.234,-69.824,-68.359,0.000
1681293173.264,-73.242,-1000.000,-78.125,-63.477,0.000
1681293173.268,-81.055,-947.754,-78.613,-51.758,0.000
1681293173.272,-85.449,-909.180,-70.801,-70.312,0.000
1681293173.275,-73.730,-960.449,-62.988,-83.496,0.000
1681293173.279,-67.383,-1000.000,-65.918,-54.199,0.000
1681293173.283,-75.195,-953.613,-57.129,-46.875,0.000
1681293173.287,-85.938,-877.930,-54.199,-73.730,0.000
1681293173.291,-96.191,-958.008,-59.570,-83.008,0.000
1681293173.295,-109.375,-1000.000,-54.199,-76.660,0.000
1681293173.299,-123.047,-977.539,-47.363,-74.219,0.000
1681293173.303,-120.117,-933.594,-47.363,-94.727,0.000
