timestamps,TP9,AF7,AF8,TP10,Right AUX
1681293331.840,127.930,973.145,207.520,358.887,0.000
1681293331.844,72.754,973.145,221.191,242.676,0.000
1681293331.848,36.133,973.633,210.449,129.395,0.000
1681293331.851,85.449,968.750,200.684,116.699,0.000
1681293331.855,160.645,970.703,189.453,131.348,0.000
1681293331.859,161.133,962.402,188.477,31.738,0.000
1681293331.863,97.656,752.930,210.449,-85.449,0.000
1681293331.867,41.504,420.410,227.539,-165.527,0.000
1681293331.871,11.719,-92.285,226.074,-217.285,0.000
1681293331.875,-11.230,-504.395,234.375,-189.453,0.000
1681293331.879,-45.410,-805.664,259.277,-169.434,0.000
1681293331.883,-120.605,-987.305,270.508,-351.074,0.000
1681293331.887,-182.129,-988.281,258.301,-463.867,0.000
1681293331.891,-118.164,-1000.000,252.930,-438.477,0.000
1681293331.894,-119.141,-999.023,249.512,-465.820,0.000
1681293331.898,-193.848,-1000.000,226.562,-458.984,0.000
1681293331.902,-197.266,-1000.000,217.285,-480.469,0.000
1681293331.906,-197.266,-1000.000,223.633,-512.207,0.000
1681293331.910,-125.000,-1000.000,225.098,-403.320,0.000
1681293331.914,37.109,-1000.000,235.352,-149.902,0.000
1681293331.918,152.832,-994.141,236.816,-111.328,0.000
1681293331.922,131.348,-1000.000,227.539,-266.602,0.000
1681293331.926,168.457,-978.516,220.703,-139.648,0.000
1681293331.930,223.145,-726.074,219.238,56.641,0.000
1681293331.934,157.227,-517.578,223.145,80.566,0.000
1681293331.937,161.621,-798.340,218.750,-18.555,0.000
1681293331.941,107.910,-1000.000,211.914,-129.395,0.000
1681293331.945,-30.273,-987.305,208.008,-225.586,0.000
1681293331.949,-46.387,-1000.000,202.148,-273.926,0.000
1681293331.953,24.414,-1000.000,194.336,-200.195,0.000
1681293331.957,83.008,-1000.000,195.312,-186.035,0.000
1681293331.961,70.801,-1000.000,193.359,-279.785,0.000
1681293331.965,13.184,-1000.000,188.477,-328.125,0.000
1681293331.969,-55.176,-1000.000,192.383,-352.539,0.000
1681293331.973,16.602,-1000.000,190.918,-231.445,0.000
1681293331.976,40.039,-1000.000,193.848,-118.652,0.000
1681293331.980,-49.805,-1000.000,195.801,-223.633,0.000
1681293331.984,-37.598,-1000.000,182.617,-270.020,0.000
1681293331.988,-8.789,-1000.000,173.828,-186.035,0.000
1681293331.992,27.832,-1000.000,175.781,-76.172,0.000
1681293331.996,22.949,-1000.000,173.828,6.348,0.000
1681293332.000,-51.758,-1000.000,169.922,38.574,0.000
1681293332.004,-135.254,-1000.000,166.016,24.414,0.000
1681293332.008,-158.203,-997.559,170.410,27.344,0.000
1681293332.012,-109.863,-1000.000,185.059,77.148,0.000
1681293332.016,-66.406,-973.145,189.453,131.836,0.000
1681293332.019,-60.059,-904.297,187.500,207.031,0.000
1681293332.023,-128.418,-950.195,187.012,235.352,0.000
1681293332.027,-186.523,-1000.000,186.035,186.523,0.000
1681293332.031,-138.184,-1000.000,182.129,144.531,0.000
1681293332.035,-63.965,-903.320,176.270,150.391,0.000
1681293332.039,-81.055,-872.070,166.016,177.734,0.000
1681293332.043,-112.793,-1000.000,159.180,93.262,0.000
1681293332.047,-64.941,-997.559,165.039,75.195,0.000
1681293332.051,-18.066,-995.605,161.621,118.164,0.000
1681293332.055,50.293,-999.512,158.203,158.203,0.000
1681293332.058,80.566,-1000.000,156.250,148.926,0.000
1681293332.062,24.414,-981.934,154.785,66.406,0.000
1681293332.066,-3.418,-947.754,154.785,71.289,0.000
1681293332.070,18.555,-1000.000,146.484,97.656,0.000
1681293332.074,110.352,-986.328,138.672,126.465,0.000
1681293332.078,164.551,-778.809,138.672,199.707,0.000
1681293332.082,121.094,-866.211,132.324,167.480,0.000
1681293332.086,87.402,-1000.000,123.047,141.602,0.000
1681293332.090,84.961,-973.145,116.699,153.809,0.000
1681293332.094,125.977,-850.098,108.398,142.578,0.000
1681293332.098,159.668,-672.363,95.215,207.031,0.000
1681293332.101,170.898,-819.336,75.195,238.770,0.000
1681293332.105,137.207,-1000.000,66.895,180.664,0.000
1681293332.109,105.469,-1000.000,61.523,169.922,0.000
1681293332.113,177.246,-917.480,50.293,203.613,0.000
1681293332.117,192.871,-917.480,34.180,189.453,0.000
1681293332.121,145.020,-954.590,17.090,200.195,0.000
1681293332.125,108.398,-882.324,10.742,173.340,0.000
1681293332.129,114.746,-968.750,15.137,150.391,0.000
1681293332.133,189.941,-984.375,9.277,190.918,0.000
1681293332.137,265.137,-813.965,-11.719,245.605,0.000
1681293332.141,221.191,-732.910,-20.508,214.844,0.000
1681293332.144,145.508,-897.949,-19.043,205.078,0.000
1681293332.148,175.781,-1000.000,-20.508,203.125,0.000
1681293332.152,210.449,-1000.000,-22.949,192.871,0.000
1681293332.156,183.105,-925.293,-20.508,283.691,0.000
1681293332.160,162.109,-859.375,-27.832,309.570,0.000
1681293332.164,119.629,-1000.000,-43.457,244.629,0.000
1681293332.168,111.328,-961.914,-43.945,206.543,0.000
1681293332.172,181.641,-801.270,-39.551,242.188,0.000
1681293332.176,208.496,-907.227,-37.109,324.707,0.000
1681293332.180,225.586,-950.195,-36.621,315.918,0.000
1681293332.183,192.871,-796.387,-49.316,218.750,0.000
1681293332.187,139.648,-750.000,-63.477,150.879,0.000
1681293332.191,154.785,-870.605,-61.035,150.879,0.000
1681293332.195,190.430,-890.625,-55.664,183.105,0.000
1681293332.199,212.891,-903.809,-62.988,194.336,0.000
1681293332.203,232.422,-992.188,-58.105,179.688,0.000
1681293332.207,209.961,-1000.000,-45.898,146.484,0.000
1681293332.211,192.871,-918.457,-46.875,117.188,0.000
1681293332.215,258.789,-662.598,-49.316,149.414,0.000
1681293332.219,275.879,-707.520,-43.457,191.406,0.000
1681293332.223,218.262,-884.766,-44.434,143.555,0.000
1681293332.226,186.035,-860.840,-52.734,115.723,0.000
1681293332.230,207.031,-726.074,-45.898,136.719,0.000
