timestamps,TP9,AF7,AF8,TP10,Right AUX
1681290750.353,-20.508,-36.133,-166.504,-18.066,0.000
1681290750.357,-34.668,-38.574,-142.578,-32.227,0.000
1681290750.361,-48.828,-38.086,-124.512,-42.480,0.000
1681290750.365,-23.926,-36.133,-104.980,-32.227,0.000
1681290750.369,-24.414,-33.691,-88.379,-22.949,0.000
1681290750.373,-28.320,-34.180,-79.102,-24.902,0.000
1681290750.376,-30.273,-39.062,-71.289,-28.809,0.000
1681290750.380,-25.391,-40.527,-63.477,-36.621,0.000
1681290750.384,-19.531,-34.180,-52.246,-41.016,0.000
1681290750.388,-28.320,-36.133,-41.504,-40.039,0.000
1681290750.392,-21.973,-37.598,-28.809,-34.180,0.000
1681290750.396,-32.227,-39.551,-20.020,-33.203,0.000
1681290750.400,-30.762,-41.016,-15.625,-43.945,0.000
1681290750.404,-25.391,-39.551,-9.766,-47.363,0.000
1681290750.408,-32.227,-39.551,-3.906,-41.504,0.000
1681290750.412,-33.691,-38.574,-17.578,-30.273,0.000
1681290750.416,-30.273,-34.668,-37.598,-19.043,0.000
1681290750.419,-39.062,-36.133,-46.875,-23.926,0.000
1681290750.423,-43.457,-42.480,-53.223,-29.785,0.000
1681290750.427,-38.574,-45.898,-64.453,-30.762,0.000
1681290750.431,-32.715,-46.387,-78.125,-36.621,0.000
1681290750.435,-25.391,-44.434,-73.730,-34.668,0.000
1681290750.439,-31.250,-39.062,-58.594,-29.297,0.000
1681290750.443,-34.668,-40.039,-59.570,-37.109,0.000
1681290750.447,-37.598,-34.668,-61.523,-35.156,0.000
1681290750.451,-36.133,-33.691,-58.594,-23.438,0.000
1681290750.455,-18.066,-42.480,-62.500,-16.602,0.000
1681290750.459,-13.184,-43.457,-60.059,-14.160,0.000
1681290750.462,-43.457,-42.969,-55.664,-45.898,0.000
1681290750.466,-55.664,-42.480,-58.105,-52.246,0.000
1681290750.470,-38.086,-41.016,-53.711,-25.879,0.000
1681290750.474,-33.691,-38.574,-39.551,-17.578,0.000
1681290750.478,-39.062,-41.992,-21.973,-21.484,0.000
1681290750.482,-45.410,-46.875,-16.602,-32.227,0.000
1681290750.486,-49.316,-49.805,-13.184,-34.180,0.000
1681290750.490,-37.109,-46.875,-6.836,-27.832,0.000
1681290750.494,-38.086,-41.016,-9.766,-36.621,0.000
1681290750.498,-41.992,-42.480,-10.742,-42.969,0.000
1681290750.501,-39.551,-44.434,-9.277,-38.086,0.000
1681290750.505,-45.410,-45.898,-2.930,-37.109,0.000
1681290750.509,-54.199,-46.875,-1.465,-34.180,0.000
1681290750.513,-42.480,-46.387,-3.906,-32.227,0.000
1681290750.517,-31.738,-43.457,-1.953,-28.809,0.000
1681290750.521,-41.992,-41.992,-1.465,-31.250,0.000
1681290750.525,-37.598,-41.992,1.953,-28.320,0.000
1681290750.529,-29.785,-40.039,-2.930,-22.461,0.000
1681290750.533,-27.832,-41.016,-0.977,-19.043,0.000
1681290750.537,-25.391,-39.062,3.906,-15.137,0.000
1681290750.541,-26.855,-34.180,7.812,-23.438,0.000
1681290750.544,-31.250,-35.645,4.395,-29.785,0.000
1681290750.548,-23.438,-40.527,-3.418,-32.227,0.000
1681290750.552,-26.855,-39.551,-0.977,-31.250,0.000
1681290750.556,-31.738,-41.016,1.465,-27.344,0.000
1681290750.560,-28.809,-43.457,-5.371,-33.203,0.000
1681290750.564,-27.344,-38.574,-7.812,-41.016,0.000
1681290750.568,-28.320,-37.598,-4.883,-34.180,0.000
1681290750.572,-25.879,-40.527,-3.906,-22.461,0.000
1681290750.576,-16.602,-41.504,-10.254,-24.414,0.000
1681290750.580,-20.020,-42.969,-12.695,-26.367,0.000
1681290750.583,-23.438,-51.270,-9.766,-28.809,0.000
1681290750.587,-22.949,-56.152,3.418,-21.973,0.000
1681290750.591,-30.273,-51.270,15.625,-18.555,0.000
1681290750.595,-25.391,-44.434,24.414,-21.484,0.000
1681290750.599,-20.508,-41.016,32.227,-23.438,0.000
1681290750.603,-24.902,-44.922,55.176,-31.250,0.000
1681290750.607,-31.250,-48.340,122.070,-35.156,0.000
1681290750.611,-26.367,-47.852,163.086,-27.832,0.000
1681290750.615,-19.531,-43.945,167.969,-17.090,0.000
1681290750.619,-26.367,-41.992,167.480,-19.531,0.000
1681290750.623,-27.832,-46.387,165.039,-30.273,0.000
1681290750.626,-21.484,-40.039,164.551,-32.715,0.000
1681290750.630,-21.973,-36.133,154.785,-21.484,0.000
1681290750.634,-15.137,-37.109,146.484,-15.625,0.000
1681290750.638,-8.789,-36.133,142.090,-20.020,0.000
1681290750.642,-20.508,-36.133,134.277,-36.621,0.000
1681290750.646,-34.668,-35.156,122.070,-37.598,0.000
1681290750.650,-25.391,-35.156,116.211,-28.320,0.000
