timestamps,TP9,AF7,AF8,TP10,Right AUX
1681290673.635,4.395,-42.969,-139.160,1.953,0.000
1681290673.639,-23.438,-46.387,-136.719,-25.391,0.000
1681290673.642,-42.480,-43.945,-153.809,-45.410,0.000
1681290673.646,-35.645,-47.852,-166.504,-46.387,0.000
1681290673.650,-48.340,-53.223,-168.945,-62.988,0.000
1681290673.654,-53.223,-54.688,-166.504,-52.246,0.000
1681290673.658,-50.293,-59.082,-160.645,-27.832,0.000
1681290673.662,-55.664,-55.664,-153.809,-17.090,0.000
1681290673.666,-64.453,-52.246,-144.043,-26.367,0.000
1681290673.670,-75.195,-55.664,-137.207,-44.922,0.000
1681290673.674,-64.941,-60.059,-132.812,-33.691,0.000
1681290673.678,-49.316,-62.988,-115.723,-20.020,0.000
1681290673.682,-48.340,-59.082,-111.816,-26.367,0.000
1681290673.685,-62.012,-58.105,-120.605,-34.180,0.000
1681290673.689,-66.895,-64.941,-116.699,-42.480,0.000
1681290673.693,-58.594,-62.012,-111.816,-39.062,0.000
1681290673.697,-38.574,-56.641,-106.934,-12.207,0.000
1681290673.701,-27.832,-54.688,-101.074,4.883,0.000
1681290673.705,-48.828,-54.199,-98.145,-20.508,0.000
1681290673.709,-55.664,-56.641,-102.051,-39.551,0.000
1681290673.713,-43.457,-57.617,-118.652,-30.273,0.000
1681290673.717,-23.926,-50.781,-134.277,-22.461,0.000
1681290673.721,-16.602,-40.527,-138.672,-13.184,0.000
1681290673.724,-33.203,-43.457,-139.160,-16.602,0.000
1681290673.728,-50.781,-48.340,-141.602,-31.250,0.000
1681290673.732,-43.457,-46.875,-145.996,-28.809,0.000
1681290673.736,-23.926,-47.852,-136.719,-6.836,0.000
1681290673.740,-23.926,-50.293,-128.906,-0.488,0.000
1681290673.744,-30.273,-47.852,-131.836,-10.742,0.000
1681290673.748,-30.762,-45.898,-121.582,-23.926,0.000
1681290673.752,-21.484,-44.922,-104.004,-25.879,0.000
1681290673.756,-8.301,-42.969,-97.168,-9.277,0.000
1681290673.760,-1.465,-38.086,-94.238,-0.488,0.000
1681290673.764,-11.719,-34.180,-88.379,-8.301,0.000
1681290673.767,-24.902,-34.668,-82.031,-22.949,0.000
1681290673.771,-9.277,-34.180,-72.754,-18.066,0.000
1681290673.775,0.000,-34.180,-64.941,-2.930,0.000
1681290673.779,3.906,-36.621,-60.059,14.160,0.000
1681290673.783,9.766,-38.086,-45.410,11.230,0.000
1681290673.787,-5.859,-44.434,-33.691,-16.602,0.000
1681290673.791,-12.695,-48.340,-22.461,-24.414,0.000
1681290673.795,-0.977,-39.551,-10.254,-4.883,0.000
1681290673.799,-7.812,-39.062,-0.977,2.441,0.000
1681290673.803,-17.578,-41.992,7.324,-15.137,0.000
1681290673.807,-18.555,-42.480,10.742,-29.785,0.000
1681290673.810,-20.508,-40.527,12.695,-31.250,0.000
1681290673.814,-13.184,-41.992,32.227,-12.695,0.000
1681290673.818,0.488,-41.016,49.316,13.184,0.000
