timestamps,TP9,AF7,AF8,TP10,Right AUX
1681290603.044,-26.855,-28.320,-39.062,-18.555,0.000
1681290603.048,-21.484,-29.297,-32.227,-16.602,0.000
1681290603.052,-21.484,-30.273,-30.273,-27.832,0.000
1681290603.056,-20.020,-18.066,-33.691,-34.180,0.000
1681290603.060,-13.672,-18.555,-35.156,-36.621,0.000
1681290603.064,-0.977,-18.555,-35.645,-30.762,0.000
1681290603.068,3.906,-7.324,-30.762,-22.461,0.000
1681290603.072,-6.348,-16.113,-32.715,-29.297,0.000
1681290603.075,-11.719,-25.391,-33.691,-31.738,0.000
1681290603.079,-9.277,-25.391,-28.320,-25.391,0.000
1681290603.083,-18.066,-34.180,-25.391,-24.414,0.000
1681290603.087,-33.203,-41.016,-29.785,-26.855,0.000
